"snapshot-date","sku","fnsku","asin","product-name","condition","available","pending-removal-quantity","inv-age-0-to-90-days","inv-age-91-to-180-days","inv-age-181-to-270-days","inv-age-271-to-365-days","inv-age-365-plus-days","currency","qty-to-be-charged-ltsf-6-mo","projected-ltsf-6-mo","qty-to-be-charged-ltsf-12-mo","estimated-ltsf-next-charge","units-shipped-t7","units-shipped-t30","units-shipped-t60","units-shipped-t90","alert","your-price","sales-price","lowest-price-new-plus-shipping","lowest-price-used","recommended-action","sell-through","item-volume","volume-unit-measurement","storage-type","storage-volume","marketplace","product-group","sales-rank","days-of-supply","estimated-excess-quantity","weeks-of-cover-t30","weeks-of-cover-t90","featuredoffer-price","sales-shipped-last-7-days","sales-shipped-last-30-days","sales-shipped-last-60-days","sales-shipped-last-90-days","inv-age-0-to-30-days","inv-age-31-to-60-days","inv-age-61-to-90-days","inv-age-181-to-330-days","inv-age-331-to-365-days","estimated-storage-cost-next-month","inbound-quantity","inbound-working","inbound-shipped","inbound-received","Total Reserved Quantity","unfulfillable-quantity","weeks-of-cover","weeks-of-cover-estimated-excess-quantity","recommended-order-quantity","recommended-order-date","restock-plus-seller-eligible","restock-plus-seller-opted","restock-plus-suggested-weeks-of-cover","restock-plus-storage-incentives","restock-plus-total-incentives","proposed-restock-plus-cover-start-date","proposed-restock-plus-cover-end-date","Inventory age snapshot date","Inventory Supply at FBA","Reserved FC Transfer","Reserved FC Processing","Reserved Customer Order","Total Days of Supply (including units from open shipments)"
"2026-06-03","ARHA02F946215","X0029OG5D9","B00PHFFENQ","PEDRINI Gadget Adhesive Hooks Oval Stainless Steel, Silver, 4 Units","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","74.24","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","ARKS034G006741","X002CTRWD3","B0BFNYF31R","MGI Frying Oil Disposal 1.4L Kitchen Cooking Oil Container Grease Container with Strainer, Metal Lar","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","141.69","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","GLASCUPM001","X002DQ7X6L","B0FMP7Q4Y2","Glass Cup with Lid and Straw – 300ml Clear Reusable Bubble Tea Cup, Iced Coffee Mug, Juice Glass, Beer Can Style Milk Cup, Breakfast Drinkware","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","Standard","","EG","gl_kitchen","","","0","","","","","","","","","","","0","","","0","0","0","0","0","0","0.0","0","","","false","","","","","","","","0","0","0","0",""
"2026-06-03","ARHS034G004948","X002C1TH11","B0BN68MMY5","Mintra Water Bottle 500ml Red with Straw Cap Red + Grey","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","142.44","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","TKWF 0005","X001TIDXR7","B091D2MQSG","Generic 360° Rotate Swivel Faucet Nozzle Filter Adapter Water Saving Tap Aerator Diffuser Kitchen Accessory","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","CreateShippingPlan","-1.0","","","","","EG","gl_home","","0","0","","","105.0","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","","0"
"2026-06-03","ARAUS068G007563","X002LGR7NH","B0H29L14GG","Premium Hi-Power Car Exhaust Tip Muffler – Universal Stainless Steel, Noise Reducing Sport Exhaust Tip with Easy Bolt-On Installation, Fits 6.1 cm Inlet, 8.6 cm Outer Diameter (2026-2)","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","Edit listing","-1.0","","","Standard","","EG","gl_automotive","","","0","","","","","","","","","","","0","","","12","0","12","0","0","0","52.0","12","","","false","","","","","","","","12","0","0","0",""
"2026-06-03","ARAUS068G007564","X002LFNO49","B0H2757NXZ","Premium Hi-Power Car Exhaust Tip Muffler – Universal Stainless Steel, Noise Reducing Sport Exhaust Tip with Easy Bolt-On Installation, Fits 6.1 cm Inlet, 8.6 cm Outer Diameter (2026-3)","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","Edit listing","-1.0","","","Standard","","EG","gl_automotive","","","0","","","","","","","","","","","0","","","12","0","12","0","0","0","52.0","12","","","false","","","","","","","","12","0","0","0",""
"2026-06-03","ARAUS068G007562","X002LGUTM3","B0H29N5CSS","Premium Hi-Power Car Exhaust Tip Muffler – Universal Stainless Steel Tailpipe Silencer, Noise Reducing Sport Exhaust Tip, Easy Bolt-On Installation, Fits 6.1 cm Inlet, 8.6 cm Outer Diameter (2026-1)","","0","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","Edit listing","-1.0","","","Standard","","EG","gl_automotive","","","0","","","","","","","","","","","0","","","12","0","12","0","0","0","52.0","12","","","false","","","","","","","","12","0","0","0",""
"2026-06-03","ARAUS068G007556","X002LEKZPL","B0H1BVLT9H","Ultimate Breathable Auto Seat Pad Ventilated Mesh Cushion with Built-In Lumbar Support Universal Fit for Commuting (2PCS) (Gray)","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_home","","","0","","","","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
"2026-06-03","DHKBLBAE005","X001OR604B","B07MVTY8SZ","semsem Sesame 4 Piece Bed Ring Fastener Set - Assorted Colors","","","-1","","","","","","EGP","","","","","","","","","","0.0","0.0","0.0","0.0","NoRestockExcessActionRequired","-1.0","","","","","EG","gl_kitchen","","","0","","","31.23","","","","","","","","0","","","0","","","","0","","0.0","0","","","false","","","","","","","","0","","0","",""
